,IR0,IR1,IR2,IR3,IR4,IR5,IR6,IR7,Smell,Turn,Move
48,100,70,17,22,81,100,15,19,66.3435650304429,19.90306950913287,10.0
49,47,100,16,33,100,22,16,100,47.18281787551865,14.154845362655594,10.0
50,42,100,13,47,100,22,71,96,33.59476822722513,10.07843046816754,10.0
51,37,100,20,100,54,26,86,100,23.93827636656073,7.181482909968218,10.0
52,31,100,28,100,54,41,92,22,17.06714917305146,5.120144751915438,10.0
53,25,100,34,100,58,84,74,15,12.174010592908644,3.652203177872593,10.0
54,17,100,40,28,64,92,14,8,8.687444058685742,56.60623321760572,12.4
55,97,30,26,68,100,14,12,100,-48.93006922730149,12.320979231809558,11.2
56,96,21,23,71,100,18,100,88,-62.35750375643693,-18.707251126931077,10.0
57,75,24,18,97,100,24,100,93,-44.45371268306258,-13.336113804918773,10.0
58,64,87,19,28,100,31,100,100,-31.729756686835515,-9.518927006050655,10.0
59,56,65,100,26,100,37,100,100,-22.667317514068202,-6.80019525422046,10.0
60,48,50,100,28,100,41,100,100,-16.204110520606662,-4.861233156181998,10.0
61,40,38,96,35,100,40,100,100,-11.590515498252842,-3.4771546494758523,10.0
62,32,28,66,75,80,36,100,100,-8.295009814702496,-119.0,20.0
63,22,89,89,45,53,100,54,100,113.07389740187409,33.922169220562225,10.0
64,86,100,53,52,100,58,100,15,80.3999745018474,24.119992350554217,10.0
65,100,70,47,72,100,100,14,99,57.35008572842668,26.205025718528002,10.4
66,100,46,49,100,82,20,100,62,31.82344023612785,9.547032070838355,10.0
67,69,38,48,100,100,100,92,100,22.78434709660968,6.835304128982903,10.0
68,49,30,45,100,100,100,68,100,16.32569471723366,4.897708415170098,10.0
69,34,23,39,100,55,100,53,100,11.706094319135104,3.511828295740531,10.0
70,22,15,30,100,61,100,64,100,8.399293730960949,2.5197881192882847,10.0
71,11,7,18,100,69,100,100,100,6.030633400094928,-44.6381619959943,3.9999999999999996
72,100,10,7,18,100,69,100,100,51.0128229789708,-29.69615310630876,12.0
73,100,100,12,13,48,100,100,45,82.47299500076264,6.741898500228789,10.8
74,100,100,14,17,86,100,100,46,77.18346807600807,23.15504042280242,10.0
75,100,16,12,26,100,100,40,100,55.259860999198736,16.57795829975962,10.0
76,100,8,9,41,100,100,100,100,39.65285153409093,-33.10414453977272,12.0
77,100,100,100,13,100,100,43,100,74.5541063952449,4.366231918573469,10.8
78,100,100,100,15,100,100,42,93,71.67635721328259,21.502907163984776,10.0
79,54,100,68,25,100,52,100,100,51.41004742369904,15.42301422710971,10.0
80,100,100,50,41,100,89,82,100,36.95502516728186,11.086507550184558,10.0
81,100,100,47,100,100,100,87,100,26.606284654671583,7.981885396401474,10.0
82,100,100,48,100,85,100,100,30,19.179924823021224,5.753977446906367,10.0
83,100,100,50,44,89,100,100,100,13.842110291810343,4.152633087543102,10.0
84,100,100,53,49,95,89,23,100,10.000737018631241,3.000221105589372,10.0
85,100,100,56,55,100,100,21,82,7.233368004224872,2.1700104012674615,10.0
86,100,100,100,60,100,100,50,79,5.237767787982364,1.571330336394709,10.0
87,100,100,100,64,100,33,82,100,3.797312462055686,1.1391937386167057,10.0
88,100,90,100,69,100,36,100,100,2.7565438723482316,0.8269631617044695,10.0
89,96,80,100,73,100,47,100,100,2.0037887245741217,0.6011366173722364,10.0
90,85,70,100,77,100,58,100,100,1.4587576987250372,0.4376273096175112,10.0
91,75,59,100,80,100,69,59,100,1.0636789776090154,0.3191036932827046,10.0
92,65,49,100,84,100,80,56,100,0.7769500566660668,0.23308501699982,10.0
93,55,53,100,92,100,91,100,77,0.5685880244416239,-117.0,20.0
94,99,100,67,66,71,100,100,65,121.99104004761892,36.59731201428568,10.0
95,100,100,68,79,100,100,64,84,87.88479118654772,26.365437355964314,10.0
96,100,51,68,100,100,100,72,30,63.76083454648381,19.128250363945142,10.0
97,100,58,76,100,100,74,20,100,46.48164687683766,13.944494063051296,10.0
98,40,50,100,100,100,82,42,100,34.00914788267664,10.202744364802992,10.0
99,24,43,83,100,100,32,100,100,24.96131476102397,7.488394428307191,10.0
100,12,36,81,100,100,45,100,100,18.37483500611893,2.204980200734271,3.999999999999999
101,9,33,81,100,100,49,100,100,16.4246486260638,0.0,0.0
102,9,33,81,100,100,49,100,100,16.4246486260638,0.0,0.0
103,9,33,81,100,100,49,100,100,16.4246486260638,0.0,0.0
104,9,33,81,100,100,49,100,100,16.4246486260638,0.0,0.0
105,9,33,81,100,100,49,100,100,16.4246486260638,0.0,0.0
106,9,33,81,100,100,49,100,100,16.4246486260638,0.0,0.0
107,9,33,81,100,100,49,100,100,16.4246486260638,0.0,0.0
108,9,33,81,100,100,49,100,100,16.4246486260638,0.0,0.0
109,9,33,81,100,100,49,100,100,16.4246486260638,0.0,0.0
110,9,33,81,100,100,49,100,100,16.4246486260638,0.0,0.0
111,9,33,81,100,100,49,100,100,16.4246486260638,0.0,0.0
112,9,33,81,100,100,49,100,100,16.4246486260638,0.0,0.0
113,9,33,81,100,100,49,100,100,16.4246486260638,0.0,0.0
114,9,33,81,100,100,49,100,100,16.4246486260638,0.0,0.0
115,9,33,81,100,100,49,100,100,16.4246486260638,0.0,0.0
116,9,33,81,100,100,49,100,100,16.4246486260638,0.0,0.0
117,9,33,81,100,100,49,100,100,16.4246486260638,0.0,0.0
118,9,33,81,100,100,49,100,100,16.4246486260638,0.0,0.0
119,9,33,81,100,100,49,100,100,16.4246486260638,0.0,0.0
120,9,33,81,100,100,49,100,100,16.4246486260638,0.0,0.0
121,9,33,81,100,100,49,100,100,16.4246486260638,0.0,0.0
122,9,33,81,100,100,49,100,100,16.4246486260638,0.0,0.0
123,9,33,81,100,100,49,100,100,16.4246486260638,0.0,0.0
124,9,33,81,100,100,49,100,100,16.4246486260638,-109.0,20.0
125,100,79,100,21,74,100,100,31,130.09573937641937,39.02872181292581,10.0
126,68,100,20,64,100,100,31,100,93.92444196181208,28.177332588543624,10.0
127,71,100,19,100,100,38,100,100,68.40426546104925,20.521279638314773,10.0
128,100,98,17,100,100,100,100,53,50.1191846628908,15.03575539886724,10.0
129,100,95,8,100,59,100,54,53,36.89303580320524,11.06791074096157,10.0
130,100,72,5,100,65,100,48,100,27.267464983604384,8.180239495081315,10.0
131,68,59,5,100,100,100,46,100,20.232195241752777,6.0696585725258325,10.0
132,58,51,35,11,100,67,46,100,15.073043769279138,-31.47808686921626,11.6
133,100,51,48,37,100,100,49,100,49.67325008489661,14.901975025468982,10.0
134,100,46,45,34,100,100,40,100,37.130719575498574,11.139215872649572,10.0
135,29,41,44,39,100,62,100,100,27.929094277824333,8.3787282833473,10.0
136,19,34,43,45,100,53,100,100,21.14518193679828,6.343554581039484,10.0
137,9,24,42,53,100,56,100,100,16.12522501712067,0.0,0.0
138,9,24,42,53,100,56,100,100,16.12522501712067,0.0,0.0
139,9,24,42,53,100,56,100,100,16.12522501712067,0.0,0.0
140,9,24,42,53,100,56,100,100,16.12522501712067,0.0,0.0
141,9,24,42,53,100,56,100,100,16.12522501712067,0.0,0.0
142,9,24,42,53,100,56,100,100,16.12522501712067,0.0,0.0
143,9,24,42,53,100,56,100,100,16.12522501712067,0.0,0.0
144,9,24,42,53,100,56,100,100,16.12522501712067,0.0,0.0
145,9,24,42,53,100,56,100,100,16.12522501712067,0.0,0.0
146,9,24,42,53,100,56,100,100,16.12522501712067,0.0,0.0
147,9,24,42,53,100,56,100,100,16.12522501712067,0.0,0.0
148,9,24,42,53,100,56,100,100,16.12522501712067,0.0,0.0
149,9,24,42,53,100,56,100,100,16.12522501712067,0.0,0.0
150,9,24,42,53,100,56,100,100,16.12522501712067,0.0,0.0
151,9,24,42,53,100,56,100,100,16.12522501712067,0.0,0.0
152,9,24,42,53,100,56,100,100,16.12522501712067,0.0,0.0
153,9,24,42,53,100,56,100,100,16.12522501712067,0.0,0.0
154,9,24,42,53,100,56,100,100,16.12522501712067,0.0,0.0
155,9,24,42,53,100,56,100,100,16.12522501712067,-114.0,20.0
156,100,100,100,18,62,73,100,48,137.18478816084865,41.1554364482546,10.0
157,100,100,30,53,79,100,36,100,100.56068619263215,30.168205857789644,10.0
158,100,100,19,77,100,61,76,94,74.78912140529957,22.43673642158987,10.0
159,100,100,16,96,100,58,91,100,56.231401156040704,16.86942034681221,10.0
160,100,100,15,91,100,97,92,100,42.68257582989946,12.804772748969839,10.0
161,100,100,13,100,70,100,100,100,32.706416773775516,9.811925032132654,10.0
162,100,100,9,100,86,100,100,100,25.32291540790402,7.596874622371206,10.0
163,100,100,16,100,100,100,100,90,19.844955377569704,5.953486613270911,10.0
164,100,100,24,100,100,100,100,82,15.784488140106419,4.735346442031926,10.0
165,100,100,30,20,100,100,100,76,12.795343286321724,3.838602985896517,10.0
166,100,100,36,27,100,100,91,70,10.638840962485915,3.1916522887457743,10.0
167,100,100,41,33,100,100,80,65,9.168787634195837,2.750636290258751,10.0
168,100,100,46,39,100,100,71,61,8.346278320942815,2.5038834962828447,10.0
169,100,100,73,44,100,100,63,56,8.346543819258443,2.503963145777533,10.0
170,100,99,76,50,100,100,56,52,22.02561666166423,6.607684998499269,10.0
171,100,93,75,56,100,100,49,52,17.21964713943862,5.165894141831586,10.0
172,100,87,76,62,100,96,45,51,13.653389787863773,4.096016936359132,10.0
173,100,80,76,68,100,81,42,52,11.02180462947149,3.3065413888414468,10.0
174,100,71,77,73,100,72,41,53,9.112034715452637,2.733610414635791,10.0
175,100,61,77,77,100,66,39,54,7.788348581256969,2.3365045743770905,10.0
176,100,50,77,81,100,62,39,56,6.998132349301272,2.0994397047903814,10.0
177,100,38,77,84,100,59,39,58,6.836033054020618,2.0508099162061852,10.0
178,100,27,77,87,100,57,39,61,148.34940342967707,44.504821028903116,10.0
179,17,70,92,100,68,46,71,100,106.69230529681681,32.007691589045045,10.0
180,62,74,100,100,57,69,100,9,77.54857141107095,68.26457142332129,12.0
181,68,100,77,64,100,16,36,55,9.896155053111727,2.968846515933518,10.0
182,65,100,80,70,100,25,57,50,7.330774416194458,2.1992323248583374,10.0
183,60,100,84,76,100,35,51,46,5.449213722790489,1.6347641168371467,10.0
184,54,100,87,82,100,45,45,42,4.066301620252432,1.2198904860757296,10.0
185,47,100,91,87,100,55,40,37,3.047690841698852,0.9143072525096556,10.0
186,38,100,95,92,100,65,35,33,2.295747141936374,-108.0,20.0
187,25,16,28,100,100,100,100,47,118.01976855124997,35.40593056537499,10.0
188,6,10,26,100,100,100,46,16,86.71579493639092,-45.0,2.0
189,14,5,8,28,100,100,100,44,132.3268869442831,-13.241547133372052,10.0
190,15,1,2,19,100,100,100,38,147.75298361075636,-0.6741049167730964,12.0
191,15,1,1,18,100,100,100,38,148.42708852752946,-0.47187344174115964,12.0
192,16,1,1,18,100,100,100,38,148.89896196927066,-0.3303114092188011,12.0
193,16,1,1,17,100,100,100,38,149.22927337848944,-0.23121798645316716,12.0
194,16,1,1,17,100,100,100,38,149.46049136494264,-0.16185259051720635,12.0
195,17,1,1,17,100,100,100,38,149.62234395545988,-0.11329681336203379,12.0
196,17,1,1,17,100,100,100,38,149.7356407688219,-0.07930776935343431,12.0
197,17,1,1,17,100,100,100,38,149.81494853817537,-0.055515438547388385,12.0
198,17,1,1,17,100,100,100,38,149.87046397672282,-0.03886080698315908,12.0
